SAMPLE;FARM_V;SET;PIGID;WEEKAW;ZINK;PWD;HEALTHY
NORSEA0300-pwd;FARM_N;A;3;0;NO;YES;YES
NORSEA0303-pwd;FARM_N;A;3;3;NO;YES;YES
NORSEA0307-pwd;FARM_N;A;3;7;NO;YES;YES
NORSEA0310-pwd;FARM_N;A;3;10;NO;YES;YES
NORSEA0314-pwd;FARM_N;A;3;14;NO;YES;YES
NORSEA0321-pwd;FARM_N;A;3;21;NO;YES;YES
NORSEA0400-pwd;FARM_N;A;4;0;NO;YES;YES
NORSEA0403-pwd;FARM_N;A;4;3;NO;YES;YES
NORSEA0407-pwd;FARM_N;A;4;7;NO;YES;YES
NORSEA0410-pwd;FARM_N;A;4;10;NO;YES;YES
NORSEA0414-pwd;FARM_N;A;4;14;NO;YES;YES
NORSEA0421-pwd;FARM_N;A;4;21;NO;YES;YES
NORSEB0500-pwd;FARM_N;B;5;0;NO;YES;YES
NORSEB0503-pwd;FARM_N;B;5;3;NO;YES;YES
NORSEB0507-pwd;FARM_N;B;5;7;NO;YES;YES
NORSEB0510-pwd;FARM_N;B;5;10;NO;YES;YES
NORSEB0514-pwd;FARM_N;B;5;14;NO;YES;YES
NORSEB0521-pwd;FARM_N;B;5;21;NO;YES;YES
NORSEB0600-pwd;FARM_N;B;6;0;NO;YES;YES
NORSEB0603-pwd;FARM_N;B;6;3;NO;YES;YES
NORSEB0607-pwd;FARM_N;B;6;7;NO;YES;YES
NORSEB0610-pwd;FARM_N;B;6;10;NO;YES;YES
NORSEB0614-pwd;FARM_N;B;6;14;NO;YES;YES
NORSEB0621-pwd;FARM_N;B;6;21;NO;YES;YES
NORSEB0700-pwd;FARM_N;B;7;0;NO;YES;YES
NORSEB0703-pwd;FARM_N;B;7;3;NO;YES;YES
NORSEB0707-pwd;FARM_N;B;7;7;NO;YES;YES
NORSEB0710-pwd;FARM_N;B;7;10;NO;YES;YES
NORSEB0714-pwd;FARM_N;B;7;14;NO;YES;YES
NORSEB0721-pwd;FARM_N;B;7;21;NO;YES;YES
NORSEB0800-pwd;FARM_N;B;8;0;NO;YES;YES
NORSEB0803-pwd;FARM_N;B;8;3;NO;YES;YES
NORSEB0807-pwd;FARM_N;B;8;7;NO;YES;YES
NORSEB0810-pwd;FARM_N;B;8;10;NO;YES;YES
NORSEB0814-pwd;FARM_N;B;8;14;NO;YES;YES
NORSEB0821-pwd;FARM_N;B;8;21;NO;YES;YES
OTTEKA0100-zno;FARM_O;C;8;0;YES;NO;YES
OTTEKA0103-zno;FARM_O;C;1;3;YES;NO;YES
OTTEKA0107-zno;FARM_O;C;1;7;YES;NO;YES
OTTEKA0110-zno;FARM_O;C;1;10;YES;NO;YES
OTTEKA0114-zno;FARM_O;C;1;14;YES;NO;YES
OTTEKA0121-zno;FARM_O;C;1;21;YES;NO;YES
OTTEKA0200-zno;FARM_O;C;2;0;YES;NO;YES
OTTEKA0203-zno;FARM_O;C;2;3;YES;NO;YES
OTTEKA0207-zno;FARM_O;C;2;7;YES;NO;YES
OTTEKA0210-zno;FARM_O;C;2;10;YES;NO;YES
OTTEKA0214-zno;FARM_O;C;2;14;YES;NO;YES
OTTEKA0221-zno;FARM_O;C;2;21;YES;NO;YES
OTTEKA0300-zno;FARM_O;C;3;0;YES;NO;YES
OTTEKA0303-zno;FARM_O;C;3;3;YES;NO;YES
OTTEKA0307-zno;FARM_O;C;3;7;YES;NO;YES
OTTEKA0310-zno;FARM_O;C;3;10;YES;NO;YES
OTTEKA0314-zno;FARM_O;C;3;14;YES;NO;YES
OTTEKA0321-zno;FARM_O;C;3;21;YES;NO;YES
OTTEKA0400-zno;FARM_O;C;4;0;YES;NO;YES
OTTEKA0403-zno;FARM_O;C;4;3;YES;NO;YES
OTTEKA0407-zno;FARM_O;C;4;7;YES;NO;YES
OTTEKA0410-zno;FARM_O;C;4;10;YES;NO;YES
OTTEKA0414-zno;FARM_O;C;4;14;YES;NO;YES
OTTEKA0421-zno;FARM_O;C;4;21;YES;NO;YES
OTTEKB0500-zno;FARM_O;D;5;0;YES;NO;YES
OTTEKB0503-zno;FARM_O;D;5;3;YES;NO;YES
OTTEKB0507-zno;FARM_O;D;5;7;YES;NO;YES
OTTEKB0510-zno;FARM_O;D;5;10;YES;NO;YES
OTTEKB0514-zno;FARM_O;D;5;14;YES;NO;YES
OTTEKB0521-zno;FARM_O;D;5;21;YES;NO;YES
OTTEKB0600-zno;FARM_O;D;6;0;YES;NO;YES
OTTEKB0603-zno;FARM_O;D;6;3;YES;NO;YES
OTTEKB0607-zno;FARM_O;D;6;7;YES;NO;YES
OTTEKB0610-zno;FARM_O;D;6;10;YES;NO;YES
OTTEKB0614-zno;FARM_O;D;6;14;YES;NO;YES
OTTEKB0621-zno;FARM_O;D;6;21;YES;NO;YES
OTTEKB0700-zno;FARM_O;D;7;0;YES;NO;YES
OTTEKB0703-zno;FARM_O;D;7;3;YES;NO;YES
OTTEKB0707-zno;FARM_O;D;7;7;YES;NO;YES
OTTEKB0710-zno;FARM_O;D;7;10;YES;NO;YES
OTTEKB0714-zno;FARM_O;D;7;14;YES;NO;YES
OTTEKB0721-zno;FARM_O;D;7;21;YES;NO;YES
OTTEKB0800-zno;FARM_O;D;8;0;YES;NO;YES
OTTEKB0803-zno;FARM_O;D;8;3;YES;NO;YES
OTTEKB0807-zno;FARM_O;D;8;7;YES;NO;YES
OTTEKB0810-zno;FARM_O;D;8;10;YES;NO;YES
OTTEKB0814-zno;FARM_O;D;8;14;YES;NO;YES
OTTEKB0821-zno;FARM_O;D;8;21;YES;NO;YES
