Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
213330	6.19	1.0	Neural Network (Specific Model)	11	0.837	3970	234.35961538461538	435405	0.43	520	115	25860	None
213450	3.73	0.01	Neural Network (Specific Model)	11	0.93	4400	221.36708860759492	112269	0.43	158	29	15880	None
213671	2.73	0.0	Neural Network (Specific Model)	11	0.936	5100	310.48809523809524	83496	0.37	84	19	13406	None
213988	14.47	3.22	Neural Network (Specific Model)	11	0.919	7156	328.2060810810811	316330	0.54	296	50	14561	None
214201	3.18	0.0	Neural Network (Specific Model)	11	0.877	5937	201.76377952755905	87417	0.4	127	19	14146	None
214377	2.65	0.0	Neural Network (Specific Model)	11	0.918	7621	164.33333333333334	55815	0.47	105	8	13777	None
214414	4.3	0.0	Neural Network (Specific Model)	11	0.847	5989	226.52564102564102	124746	0.48	156	24	13697	None
214449	3.19	0.04	Neural Network (Specific Model)	11	0.893	3491	163.85798816568047	92102	0.43	169	26	13640	None
214804	3.37	0.02	Neural Network (Specific Model)	11	0.898	4386	215.14705882352942	121400	0.56	170	26	13016	None
214895	2.6	0.0	Neural Network (Specific Model)	11	0.911	8121	171.32758620689654	32461	0.33	58	5	12867	None
214943	2.86	0.0	Neural Network (Specific Model)	11	0.912	6071	262.1818181818182	56785	0.42	66	10	12812	None
215166	3.0	0.0	Neural Network (Specific Model)	11	0.845	4306	252.83561643835617	65376	0.35	73	17	12503	None
215167	9.74	0.0	Neural Network (Specific Model)	11	0.871	7169	274.13553113553115	257398	0.62	273	47	12500	None
215177	2.65	0.0	Neural Network (Specific Model)	11	0.967	6525	332.3448275862069	29817	0.55	29	4	12487	None
215199	2.49	0.07	Neural Network (Specific Model)	11	0.93	5253	200.4468085106383	30232	0.35	47	6	12458	None
215311	2.93	0.0	Neural Network (Specific Model)	11	0.905	3815	231.81578947368422	87210	0.43	114	23	12286	None
215319	2.61	0.0	Neural Network (Specific Model)	11	0.824	6961	136.5242718446602	50710	0.44	103	9	12281	None
215322	2.47	0.0	Neural Network (Specific Model)	11	0.924	12129	237.34426229508196	46969	0.45	61	6	12277	None
215328	3.56	0.05	Neural Network (Specific Model)	11	0.84	7297	160.65384615384616	88748	0.43	156	17	12269	None
215331	3.12	0.0	Neural Network (Specific Model)	11	0.929	5947	212.70149253731344	91725	0.31	134	19	12268	None
215503	3.49	0.05	Neural Network (Specific Model)	11	0.893	12012	240.4	52269	0.41	65	6	14163	None
215779	4.75	0.0	Neural Network (Specific Model)	11	0.926	3600	197.2689075630252	151129	0.35	238	41	11637	None
215941	2.5	0.0	Neural Network (Specific Model)	11	0.945	9034	217.72	34451	0.58	50	5	11431	None
215984	4.21	0.0	Neural Network (Specific Model)	11	0.889	4457	348.05202312138726	202477	0.48	173	46	10557	None
216530	2.85	0.07	Neural Network (Specific Model)	11	0.927	4870	176.4102564102564	66095	0.41	117	17	10702	None
216741	2.31	0.0	Neural Network (Specific Model)	11	0.969	10428	814.6	25219	0.47	10	3	10477	None
216994	5.65	0.88	Neural Network (Specific Model)	11	0.973	3075	360.1221719457014	244936	0.33	221	79	7022	None
217046	11.16	0.34	Neural Network (Specific Model)	11	0.957	3364	320.3888888888889	162562	0.48	162	50	10170	None
217102	2.75	0.0	Neural Network (Specific Model)	11	0.922	2773	337.17333333333335	82113	0.37	75	26	10119	None
217202	2.92	0.02	Neural Network (Specific Model)	11	0.951	4970	464.2	36560	0.49	25	7	10020	None
217266	6.38	0.0	Gradient Boost (General Model)	11	0.617	8094	123.73809523809524	25279	0.34	42	5	9966	None
217497	3.79	0.18	Neural Network (Specific Model)	11	0.948	5425	290.2435897435897	71554	0.43	78	16	15481	None
217552	2.82	0.0	Neural Network (Specific Model)	11	0.849	4349	189.59259259259258	53927	0.4	81	13	9680	None
217749	3.77	0.0	Neural Network (Specific Model)	11	0.693	5072	149.08333333333334	46028	0.36	72	10	9507	None
217818	2.81	0.0	Neural Network (Specific Model)	11	0.854	4518	175.864406779661	36241	0.42	59	9	9444	None
218009	3.4	0.0	Neural Network (Specific Model)	11	0.945	3297	211.92156862745097	135920	0.5	204	41	9288	None
218097	2.87	0.0	Neural Network (Specific Model)	11	0.921	6731	232.77477477477478	84031	0.41	111	16	9214	None
218329	2.87	0.0	Neural Network (Specific Model)	11	0.942	7981	189.6727272727273	33019	0.55	55	7	9057	None
218378	2.31	0.0	Neural Network (Specific Model)	11	0.778	4888	184.1864406779661	41764	0.37	59	9	9030	None
218566	2.29	0.0	Neural Network (Specific Model)	11	0.969	5346	254.775	31300	0.47	40	7	8900	None
218808	2.52	0.0	Neural Network (Specific Model)	11	0.903	7083	291.67857142857144	27129	0.37	28	5	8732	None
218814	2.53	0.0	Neural Network (Specific Model)	11	0.906	7381	453.2692307692308	38999	0.46	26	7	8731	None
218888	5.0	0.15	Neural Network (Specific Model)	11	0.88	4853	213.6547619047619	60980	0.46	84	14	8684	None
218912	6.38	0.0	Gradient Boost (General Model)	11	0.621	8269	191.45454545454547	30490	0.4	33	4	8669	None
219020	2.08	0.26	Neural Network (Specific Model)	11	0.902	5666	264.06666666666666	39428	0.4	45	9	8597	None
219042	2.35	0.0	Neural Network (Specific Model)	11	0.992	8052	1659.6666666666667	30115	0.43	6	6	8581	None
219139	3.3	0.0	Neural Network (Specific Model)	11	0.842	5625	173.24603174603175	77499	0.36	126	16	11661	None
219383	3.65	0.02	Neural Network (Specific Model)	11	0.866	3983	258.8988764044944	79352	0.35	89	20	9459	None
219554	2.81	0.0	Neural Network (Specific Model)	11	0.908	6024	201.39772727272728	58291	0.3	88	12	14875	None
219804	2.31	0.0	Neural Network (Specific Model)	11	0.876	6508	235.57575757575756	26365	0.48	33	6	8117	None
219881	2.66	0.0	Neural Network (Specific Model)	11	0.831	5566	225.03333333333333	48455	0.43	60	10	8079	None
219907	2.48	0.0	Neural Network (Specific Model)	11	0.943	4139	211.8	26928	0.45	40	7	8060	None
220523	2.68	0.0	Neural Network (Specific Model)	11	0.914	3683	161.35064935064935	40430	0.52	77	10	7742	None
220670	5.3	0.01	Neural Network (Specific Model)	11	0.898	3220	253.02314814814815	182120	0.51	216	54	12268	None
220746	3.09	0.05	Neural Network (Specific Model)	11	0.895	4121	166.74545454545455	30590	0.44	55	7	7634	None
221035	3.34	0.51	Neural Network (Specific Model)	11	0.964	4225	242.82051282051282	29416	0.41	39	8	7503	None
221092	4.57	0.0	Neural Network (Specific Model)	11	0.621	4141	114.56692913385827	69857	0.31	127	18	7475	None
221281	2.51	0.0	Neural Network (Specific Model)	11	0.905	5986	199.1153846153846	34223	0.42	52	7	7395	None
221615	3.14	0.01	Neural Network (Specific Model)	11	0.876	3362	173.5	67582	0.4	114	20	7252	None
221886	4.79	0.15	Neural Network (Specific Model)	11	0.905	3656	264.8695652173913	80468	0.47	92	24	7140	None
222557	2.79	0.0	Neural Network (Specific Model)	11	0.916	54055	271.6119402985075	59329	0.5	67	2	54055	None
223140	2.67	0.0	Neural Network (Specific Model)	11	0.931	3712	199.52459016393442	39062	0.37	61	10	6678	None
223293	2.33	0.01	Neural Network (Specific Model)	11	0.787	5190	202.56410256410257	30085	0.33	39	7	6623	None
223339	2.71	0.01	Neural Network (Specific Model)	11	0.922	3809	153.21794871794873	38500	0.52	78	11	6606	None
223470	2.41	0.0	Neural Network (Specific Model)	11	0.889	3866	287.1470588235294	32899	0.34	34	9	6559	None
223576	3.77	0.0	Neural Network (Specific Model)	11	0.879	2846	220.2089552238806	50312	0.56	67	17	6519	None
223686	2.49	0.0	Neural Network (Specific Model)	11	0.908	4144	192.8153846153846	40990	0.47	65	11	6484	None
223923	3.16	0.0	Neural Network (Specific Model)	11	0.939	2812	225.0754716981132	37949	0.4	53	11	6406	None
224020	2.68	0.0	Neural Network (Specific Model)	11	0.847	4076	341.6666666666667	25394	0.52	21	7	6374	None
224338	2.75	0.0	Neural Network (Specific Model)	11	0.967	3110	303.22	46945	0.3	50	15	6277	None
224999	2.83	0.0	Neural Network (Specific Model)	11	0.948	3676	396.32142857142856	35081	0.55	28	11	6065	None
225198	3.38	0.01	Neural Network (Specific Model)	11	0.855	3025	212.109375	47586	0.4	64	15	6010	None
225414	2.68	0.0	Neural Network (Specific Model)	11	0.867	4059	237.1509433962264	43401	0.52	53	12	5954	None
22551	2.34	0.0	Neural Network (Specific Model)	11	0.804	3065	165.62745098039215	31302	0.49	51	10	6036	None
225598	2.78	0.01	Neural Network (Specific Model)	11	0.899	4620	213.20833333333334	34059	0.39	48	9	5880	None
227662	3.47	0.04	Neural Network (Specific Model)	11	0.933	3780	256.6896551724138	47700	0.36	58	14	5409	None
227750	2.34	0.0	Neural Network (Specific Model)	11	0.662	3970	116.77049180327869	32203	0.33	61	9	5392	None
228183	2.25	0.0	Neural Network (Specific Model)	11	0.898	2805	240.1818181818182	26379	0.34	33	9	5305	None
228605	2.76	0.01	Neural Network (Specific Model)	11	0.784	3998	175.2325581395349	57567	0.41	86	16	11533	None
228694	4.27	0.0	Neural Network (Specific Model)	11	0.853	3707	223.77777777777777	35200	0.45	45	10	5201	None
228851	2.5	0.0	Neural Network (Specific Model)	11	0.91	2600	186.3111111111111	27447	0.39	45	9	5173	None
2295	2.91	0.0	Neural Network (Specific Model)	11	0.892	29574	239.16216216216216	29574	0.5	37	1	29574	None
230289	2.51	0.0	Neural Network (Specific Model)	11	0.844	4481	136.27692307692308	31134	0.4	65	8	4909	None
230563	5.37	0.01	Neural Network (Specific Model)	11	0.907	2985	246.6829268292683	66769	0.61	82	23	4859	None
230940	3.19	0.0	Neural Network (Specific Model)	11	0.876	3018	296.00694444444446	145607	0.6	144	48	8721	None
231076	2.94	0.0	Neural Network (Specific Model)	11	0.922	2805	200.28301886792454	34296	0.38	53	12	4784	None
232472	2.35	0.0	Neural Network (Specific Model)	11	0.962	4386	163.05769230769232	26271	0.42	52	8	4568	None
232567	3.23	0.2	Neural Network (Specific Model)	11	0.846	2488	311.93684210526317	104979	0.53	95	42	4554	None
232839	2.38	0.0	Neural Network (Specific Model)	11	0.694	3177	128.1891891891892	40960	0.34	74	13	4516	None
233480	3.04	0.0	Neural Network (Specific Model)	11	0.92	3154	223.02857142857144	50852	0.34	70	17	4433	None
234161	2.3	0.0	Neural Network (Specific Model)	11	0.957	3492	320.4	35131	0.34	35	11	4345	None
235456	2.7	0.0	Neural Network (Specific Model)	11	0.755	2789	217.875	34573	0.51	40	12	4198	None
235880	2.49	0.0	Neural Network (Specific Model)	11	0.906	2949	181.85714285714286	46161	0.57	77	15	4148	None
241693	2.76	0.0	Neural Network (Specific Model)	11	0.935	2466	307.2857142857143	34478	0.36	35	14	3608	None
243103	2.33	0.0	Neural Network (Specific Model)	11	0.881	3361	225.45714285714286	26836	0.38	35	9	3505	None
244808	2.46	0.0	Neural Network (Specific Model)	11	0.911	2439	149.89156626506025	40552	0.39	83	16	3387	None
245594	2.64	0.02	Neural Network (Specific Model)	11	0.984	2756	342.2258064516129	32348	0.44	31	12	3335	None
2472	3.34	0.0	Neural Network (Specific Model)	11	0.906	27890	272.16129032258067	27890	0.43	31	1	27890	None
251812	2.33	0.0	Neural Network (Specific Model)	11	0.956	2426	387.2083333333333	29119	0.54	24	12	2990	None
2664	2.62	0.0	Neural Network (Specific Model)	11	0.931	26252	258.8360655737705	50456	0.37	61	5	26252	None
26820	12.88	0.02	Neural Network (Specific Model)	11	0.898	2878	272.04424778761063	307497	0.59	339	104	7271	None
2698	3.0	0.27	Neural Network (Specific Model)	11	0.927	25942	259.83870967741933	51884	0.38	62	2	25942	None
2722	2.54	0.0	Neural Network (Specific Model)	11	0.928	15074	228.29577464788733	52315	0.32	71	3	25692	None
2761	2.51	0.0	Neural Network (Specific Model)	11	0.972	25449	493.4347826086956	35020	0.36	23	4	25449	None
2769	2.39	0.0	Neural Network (Specific Model)	11	0.967	25378	310.72972972972974	35401	0.38	37	5	25378	None
2777	2.42	0.0	Neural Network (Specific Model)	11	0.888	25329	238.80769230769232	41727	0.5	52	2	25329	None
2811	2.35	0.0	Neural Network (Specific Model)	11	0.947	25030	211.48837209302326	28567	0.52	43	2	25030	None
297	90.77	0.63	Gradient Boost (General Model)	11	0.887	53454	315.0651865847898	2251840	0.51	2117	70	208432	None
30945	14.4	0.96	Neural Network (Specific Model)	11	0.912	2478	284.9872611464968	441114	0.55	471	173	4954	None
3104	3.22	0.02	Neural Network (Specific Model)	11	0.92	9282	202.7792207792208	50464	0.45	77	7	22823	None
31354	2.35	0.0	Neural Network (Specific Model)	11	0.937	3636	253.1891891891892	29864	0.45	37	8	5546	None
3336	3.09	0.01	Neural Network (Specific Model)	11	0.958	21378	236.24444444444444	33089	0.59	45	3	21378	None
3390	4.14	0.0	Neural Network (Specific Model)	11	0.769	103368	160.789156626506	103368	0.3	166	1	103368	None
341	62.64	14.32	Gradient Boost (General Model)	11	0.653	10332	134.65370432450553	1834089	0.34	2983	270	120678	None
3528	8.27	0.0	Neural Network (Specific Model)	11	0.886	39453	303.1818181818182	236500	0.43	231	12	49894	None
3609	2.46	0.0	Neural Network (Specific Model)	11	0.877	41936	224.54545454545453	41936	0.44	55	1	41936	None
3618	2.8	0.0	Neural Network (Specific Model)	11	0.941	31877	293.5652173913044	107442	0.61	115	8	41426	None
3716	84.34	40.88	Gradient Boost (General Model)	11	0.885	11133	297.3200419727177	2876323	0.57	2859	354	89284	None
3793	88.21	30.96	Neural Network (Specific Model)	11	0.885	7230	290.7504381352962	2808933	0.6	2853	500	51287	None
3875	95.75	75.13	Gradient Boost (General Model)	11	0.892	7605	296.8597317868793	5495994	0.48	5518	886	39661	None
3955	89.88	7.05	Gradient Boost (General Model)	11	0.878	7531	312.56912357902456	2909803	0.58	2727	528	35657	None
3958	2.86	0.03	Neural Network (Specific Model)	11	0.923	16416	200.00900900900902	71880	0.6	111	5	35609	None
3991	12.26	0.25	Neural Network (Specific Model)	11	0.719	13852	134.952802359882	380855	0.32	678	43	34884	None
40700	16.73	4.14	Neural Network (Specific Model)	11	0.941	4185	299.6910377358491	404655	0.32	424	97	14639	None
4075	2.73	0.0	Neural Network (Specific Model)	11	0.942	32716	245.26190476190476	32716	0.43	42	1	32716	None
4096	2.95	0.0	Neural Network (Specific Model)	11	0.787	32314	137.8640776699029	53966	0.38	103	2	32314	None
4203	2.33	0.0	Neural Network (Specific Model)	11	0.935	29353	316.41379310344826	29353	0.47	29	1	29353	None
4213	2.57	0.01	Neural Network (Specific Model)	11	0.925	29119	253.77777777777777	51757	0.43	63	5	29119	None
4282	2.36	0.0	Neural Network (Specific Model)	11	0.905	27468	275.6666666666667	29952	0.3	33	2	27468	None
4306	2.47	0.0	Neural Network (Specific Model)	11	0.912	10384	232.35616438356163	55469	0.31	73	6	26939	None
4309	3.26	0.01	Neural Network (Specific Model)	11	0.907	16455	187.71523178807948	93174	0.43	151	8	26919	None
444	5.3	0.04	Neural Network (Specific Model)	11	0.893	47737	242.27532467532467	312240	0.48	385	16	71518	None
4622	2.77	0.0	Neural Network (Specific Model)	11	0.918	21427	247.62222222222223	36128	0.37	45	2	21427	None
4691	2.31	0.0	Neural Network (Specific Model)	11	0.703	21105	117.76785714285714	28061	0.35	56	2	21105	None
4858	2.95	0.35	Neural Network (Specific Model)	11	0.889	18624	350.64814814814815	63859	0.39	54	7	20414	None
4892	6.14	0.17	Neural Network (Specific Model)	11	0.625	5923	127.48066298342542	220383	0.38	362	43	20305	None
49778	3.96	0.0	Neural Network (Specific Model)	11	0.95	2746	281.725	35535	0.61	40	13	3815	None
498	3.47	0.0	Neural Network (Specific Model)	11	0.579	66526	117.34722222222223	87447	0.33	144	7	66526	None
5	97.74	104.75	Gradient Boost (General Model)	11	0.888	36199	300.67271425161135	8492696	0.57	8378	864	508687	None
5065	91.21	16.34	Gradient Boost (General Model)	11	0.924	4638	314.5760971055089	1092350	0.34	1071	255	19642	None
5099	2.41	0.0	Neural Network (Specific Model)	11	0.949	5468	216.77586206896552	39652	0.49	58	6	19517	None
5167	2.41	0.0	Neural Network (Specific Model)	11	0.892	19270	212.94444444444446	38529	0.44	54	2	19270	None
520	99.65	85.12	Neural Network (Specific Model)	11	0.894	13112	327.22412185265773	3529155	0.63	3217	397	65148	None
5222	4.36	0.04	Neural Network (Specific Model)	11	0.908	10479	275.86861313868616	123251	0.47	137	14	19122	None
525	4.26	0.49	Neural Network (Specific Model)	11	0.885	59947	247.50931677018633	134408	0.43	161	4	64727	None
5373	9.62	0.12	Neural Network (Specific Model)	11	0.88	6722	227.14163090128756	180205	0.28	233	33	18604	None
54237	3.51	0.06	Neural Network (Specific Model)	11	0.917	7690	236.62585034013605	113170	0.55	147	21	12407	None
554	3.35	0.01	Neural Network (Specific Model)	11	0.896	63342	216.2159090909091	63342	0.43	88	1	63342	None
5543	2.42	0.0	Neural Network (Specific Model)	11	0.903	12680	249.43636363636364	45557	0.54	55	4	18042	None
576	4.43	0.01	Neural Network (Specific Model)	11	0.874	61701	171.6	76009	0.46	130	2	61701	None
607	5.59	0.04	Neural Network (Specific Model)	11	0.914	60462	348.5660377358491	60462	0.53	53	1	60462	None
6115	3.91	0.0	Neural Network (Specific Model)	11	0.958	12474	309.8	48306	0.43	50	5	16606	None
6150	2.6	0.0	Neural Network (Specific Model)	11	0.916	14655	184.4375	38415	0.34	64	3	16537	None
62	92.49	107.37	Neural Network (Specific Model)	11	0.899	35579	355.4332601111255	9170890	0.54	7739	769	168450	None
6305	3.69	0.01	Neural Network (Specific Model)	11	0.901	16170	214.9777777777778	32185	0.4	45	2	16170	None
6580	2.28	0.0	Neural Network (Specific Model)	11	0.904	8754	169.11864406779662	32837	0.56	59	4	15595	None
67	4.03	0.0	Neural Network (Specific Model)	11	0.931	164383	191.8426966292135	164383	0.4	267	1	164383	None
672	3.65	0.0	Neural Network (Specific Model)	11	0.906	57334	223.73076923076923	57334	0.43	78	1	57334	None
735	3.46	0.0	Neural Network (Specific Model)	11	0.904	31739	317.23880597014926	140839	0.43	134	7	54546	None
7354	2.41	0.0	Neural Network (Specific Model)	11	0.916	11710	243.87272727272727	43773	0.56	55	4	14199	None
7438	59.9	8.64	Neural Network (Specific Model)	11	0.89	3341	273.1300256629598	1074018	0.34	1169	326	10093	None
746	3.37	0.01	Neural Network (Specific Model)	11	0.923	53611	242.3404255319149	110591	0.51	141	3	54207	None
7593	2.34	0.0	Neural Network (Specific Model)	11	0.975	8373	316.55172413793105	28199	0.47	29	3	13801	None
8047	2.88	0.01	Neural Network (Specific Model)	11	0.952	12554	224.80597014925374	47231	0.43	67	6	13195	None
